,Models,Adjusted_R2_Score,R2_Score,Mean_Squared_Error
2,Hyper Parameter Randomn Forrest Regression,0.8780986733263834,0.8974347458332329,0.014044494357455212
1,Hyper Parameter Support Vector Regression,0.8747261113029918,0.8945971419238966,0.014433053937569613
0,Linear Regression,0.8710831053082628,0.8915319920524694,0.014852771905645039
4,Random Forrest Regressor,0.8690996685681007,0.8898631694159193,0.015081287598342612
1,Ridge Regression,0.8680954681313531,0.8890182559450005,0.015196983528423988
0,Hyper Parameter Ridge Regression,0.8680950839590901,0.8890179327104069,0.01519702778967467
7,Gradient Boosting Regressor,0.8625739970517117,0.8843726044159229,0.015833123195964274
3,SVR,0.858087917527212,0.8805981099194473,0.01634997334262119
3,Hyper Parameter Gradient Boost Regression,0.8571754313157207,0.8798303629001236,0.01645510269435383
4,Hyper Parameter XGBoost Regression,0.8469331518548434,0.8712127208709717,0.017635147817695408
8,XGBRegressor,0.8394456212637854,0.8649128675460815,0.018497792256235945
2,Polynomial Regression,0.7734950153636126,0.8094233922369707,0.026096089890625635
6,AdaBoost Regressor,0.7389828502624158,0.7803855705656189,0.030072305090687344
5,Decision Tree Regressor,0.7024080965962979,0.7496123295499886,0.034286155222642334
